PORT_NAME;CNTR_CODE3;LONGITUDE;LATITUDE;Continent
VEERE;EST;22,04702811;58,4604863;Europe
RAHJA;FIN;23,71068643;64,22285521;Europe
STOCKHOLM;SWE;18,11851404;59,34552137;Europe
GANDIA;ESP;-0,153112797;38,99484907;Europe
ADRA;ESP;-3,021515263;36,74487185;Europe
HOGANAS;SWE;12,54619105;56,19809107;Europe
LOVIISA;FIN;26,25125051;60,41246265;Europe
SAN PEDRO DEL PINATAR;ESP;-0,755451584;37,82066777;Europe
RAUMA;FIN;21,45131428;61,12888893;Europe
CARINO;ESP;-7,86863371;43,73523211;Europe
HANKO;FIN;22,9520998;59,82329265;Europe
SAN CIPRIAN;ESP;-7,470317033;43,70368388;Europe
LIMHAMN;SWE;12,9184281;55,58431461;Europe
VASTERVIK;SWE;16,64686536;57,76391644;Europe
VISBY;SWE;18,27917334;57,6354463;Europe
TRELLEBORG;SWE;13,15178968;55,36851089;Europe
AHUS;SWE;14,31928452;55,92901716;Europe
CARBONERAS;ESP;-1,898356229;36,97159099;Europe
SKARHAMN;SWE;11,54369057;57,99107938;Europe
VILANOVA I LA GELTRU;ESP;1,732429845;41,2118642;Europe
SIMRISHAMN;SWE;14,35641164;55,5559108;Europe
OXELOSUND;SWE;17,11075309;58,66300739;Europe
PUEBLA DEL CARAMINAL;ESP;-8,933564488;42,60712109;Europe
MALMO;SWE;13,01227059;55,62329175;Europe
BURRIANA;ESP;-0,070424528;39,86149191;Europe
TORREDEMBARRA;ESP;1,40265376;41,13447854;Europe
ALCANAR;ESP;0,551295428;40,57227995;Europe
VALLCARCA;ESP;1,864604902;41,23813745;Europe
LYSEKIL;SWE;11,44867037;58,27431552;Europe
ALCUDIA;ESP;3,137562549;39,83749923;Europe
GARRUCHA;ESP;-1,817953637;37,18272194;Europe
KARLSKRONA;SWE;15,57890913;56,15900801;Europe
PIETARSAARI;FIN;22,69524589;63,71314016;Europe
KALMAR;SWE;16,37161832;56,65741667;Europe
SAN ESTEBAN DE PRAVIA;ESP;-6,084312617;43,55158367;Europe
KUIVASTU;EST;23,38838172;58,57275484;Europe
STUTTGART;DEU;9,255726732;48,76761225;Europe
KURESSAARE PORT;EST;22,46994013;58,24538284;Europe
WARNEMUNDE;DEU;12,09354915;54,16672745;Europe
WURZBURG;DEU;9,890041667;49,79968473;Europe
BERLIN;DEU;13,33394924;52,53758771;Europe
BRAUNSCHWEIG;DEU;10,48492828;52,31413581;Europe
BAMBERG;DEU;10,86808629;49,90867791;Europe
DRESDEN;DEU;13,70831033;51,06435903;Europe
BUSUM;DEU;8,865501325;54,12626543;Europe
ANDERNACH;DEU;7,427300833;50,44144818;Europe
BLUMENTHAL;DEU;8,584871552;53,17672879;Europe
BREMERHAVEN;DEU;8,568439175;53,54391011;Europe
HOMBERG;DEU;6,712306537;51,45883051;Europe
DUSSELDORF;DEU;6,741270275;51,21673574;Europe
ECKERNFORDE;DEU;9,861413108;54,47282873;Europe
EISENHUTTENSTADT;DEU;14,65862705;52,13320322;Europe
GEESTHACHT;DEU;10,36259902;53,42925576;Europe
EMDEN;DEU;7,201672017;53,35088669;Europe
CUXHAVEN;DEU;8,71333463;53,86422131;Europe
DORTMUND;DEU;7,435800451;51,52817397;Europe
GERMERSHEIM;DEU;8,376703129;49,2348179;Europe
OSNABRUCK;DEU;8,02269713;52,29939694;Europe
GREIFSWALD;DEU;13,391815;54,0990645;Europe
NURNBERG;DEU;11,06510944;49,39892266;Europe
MUHLHEIM AN DER RUHR;DEU;6,845284486;51,43743278;Europe
SESIMBRA;PRT;-9,11501772;38,43730429;Europe
PENICHE;PRT;-9,369149449;39,3545734;Europe
OLHAO;PRT;-7,834617841;37,02600716;Europe
LEIXOES;PRT;-8,689776261;41,1897904;Europe
LAGOS;PRT;-8,672632492;37,1074609;Europe
PORTIMAO;PRT;-8,526964743;37,13521727;Europe
BANATICA;PRT;-9,190312257;38,6772391;Europe
BALTRUM I.;DEU;7,367242324;53,72433538;Europe
NORDDEICH;DEU;7,158300069;53,62486988;Europe
MUKRAN;DEU;13,58721346;54,48371085;Europe
PEENEMUNDE;DEU;13,76594007;54,13501142;Europe
OORTKATEN;DEU;10,09838624;53,4456285;Europe
BEDDINGEN - ZU SALZGITTER -;DEU;10,42171956;52,18882893;Europe
EMMERICH;DEU;6,259614721;51,82932095;Europe
FRANKFURT AM MAIN;DEU;8,72851386;50,11341569;Europe
GELSENKIRCHEN;DEU;7,070302009;51,53455416;Europe
HEILBRONN;DEU;9,215895616;49,17628927;Europe
KARLSRUHE;DEU;8,326821858;49,01454805;Europe
MUNSTER;DEU;7,645001948;51,94989142;Europe
HANAU;DEU;8,919111251;50,11734041;Europe
HEILIGENHAFEN;DEU;10,98378001;54,37551718;Europe
KEHL;DEU;7,814147301;48,5921794;Europe
MONEYPOINT;IRL;-9,422347703;52,608014;Europe
WEDEL-SCHULAU;DEU;9,681965601;53,57253309;Europe
WILHELMSHAVEN;DEU;8,133348985;53,5185764;Europe
WISMAR;DEU;11,45295997;53,90113195;Europe
FINKENWERDER;DEU;9,866782251;53,53805439;Europe
KREFELD;DEU;6,669794582;51,34038824;Europe
WALSUM;DEU;6,701969012;51,5298675;Europe
VESTMANNAEYJAR - HOFN;ISL;-20,27465165;63,44535214;Europe
SIGLUFJORDUR - HOFN;ISL;-18,90667993;66,14965407;Europe
THORLAKSHOFN (THORLAKSHOFN);ISL;-21,37147718;63,85986387;Europe
ISAFJORDUR;ISL;-23,12289936;66,06792313;Europe
KOPAVOGUR;ISL;-21,93690005;64,1147013;Europe
HAFNARFJORDUR;ISL;-21,97442909;64,06514699;Europe
AKUREYRI;ISL;-18,09025369;65,69214621;Europe
AKRANES;ISL;-22,08515183;64,31410867;Europe
PIRITA;EST;24,82420905;59,46826629;Europe
PALDISKI POHJASADAM;EST;24,04750636;59,35369911;Europe
PALDISKI LOUNASADAM;EST;24,08148063;59,33610404;Europe
HAAPSALU;EST;23,52397074;58,95755534;Europe
RINGASKIDDY;IRL;-8,312408282;51,83306421;Europe
ROSSLARE HARBOUR;IRL;-6,342194797;52,25387552;Europe
KINSALE;IRL;-8,517545971;51,70363803;Europe
COBH;IRL;-8,289619213;51,85140144;Europe
LUDWIGSHAFEN;DEU;8,448606152;49,46599428;Europe
TRAVEMUNDE;DEU;10,86646197;53,95125103;Europe
LAUENBURG/ELBE;DEU;10,5691727;53,37076028;Europe
LEER;DEU;7,45431335;53,22219188;Europe
LEMWERDER;DEU;8,612075333;53,16742519;Europe
NEUSS;DEU;6,703822436;51,211006;Europe
NEUSTADT/HOLSTEIN;DEU;10,8068487;54,09708628;Europe
NORDERNEY;DEU;7,164389782;53,70174447;Europe
OFFENBACH;DEU;8,747837805;50,11323718;Europe
ROOMASSAARE;EST;22,50678793;58,21774803;Europe
OLDENBURG/OLDENBURG;DEU;8,23716881;53,14002792;Europe
SASSNITZ;DEU;13,64066314;54,5104959;Europe
STRALSUND;DEU;13,10517081;54,30900474;Europe
WOLGAST;DEU;13,77392173;54,04422556;Europe
GRIMBERG;DEU;7,12105495;51,5440502;Europe
HOWTH;IRL;-6,066668904;53,39086331;Europe
DUN LAOGHAIRE;IRL;-6,134275738;53,29799443;Europe
WICKLOW;IRL;-6,040295671;52,98402374;Europe
YOUGHAL;IRL;-7,844435882;51,94839504;Europe
ARKLOW;IRL;-6,145641652;52,79629147;Europe
PAPENBURG;DEU;7,373991405;53,09345689;Europe
ALGORTA;ESP;-3,018774624;43,33969514;Europe
LE VERDON;FRA;-1,04390655;45,54054497;Europe
ALMERIA;ESP;-2,473142784;36,83359341;Europe
HORSENS;DNK;9,869798268;55,85768682;Europe
HUNDESTED;DNK;11,84730628;55,96146853;Europe
HVIDE SANDE;DNK;8,125570908;56,00182723;Europe
ASNAESVAERKETS HAVN;DNK;11,08255216;55,66147411;Europe
KASTRUP;DNK;12,65342826;55,63971669;Europe
RANDERS;DNK;10,05179176;56,45990509;Europe
NEKSO;DNK;15,13448899;55,05999698;Europe
NYBORG;DNK;10,78943869;55,30437354;Europe
ODENSE;DNK;10,39051232;55,4212936;Europe
SKAGEN;DNK;10,59312685;57,71843449;Europe
SVENDBORG;DNK;10,61848237;55,06062102;Europe
RONNE;DNK;14,6897573;55,09675283;Europe
ARHUS;DNK;10,22792957;56,15181158;Europe
AVEDOREVAERKETS HAVN;DNK;12,48358416;55,60300456;Europe
THYBORON;DNK;8,222108736;56,69125399;Europe
KALUNDBORG;DNK;11,09993098;55,67148644;Europe
STATOIL-HAVNEN;DNK;11,09676519;55,66378514;Europe
DUBROVNIK - GRUZ PASSENGER PORT;HRV;18,08288494;42,66033;Europe
PLOCE;HRV;17,42893133;43,04819723;Europe
SPLIT;HRV;16,43579704;43,50410098;Europe
GAZENICA;HRV;15,27053749;44,08875477;Europe
HOLBAEK;DNK;11,71918758;55,72024664;Europe
HIRTSHALS;DNK;9,968041308;57,59410614;Europe
HANSTHOLM;DNK;8,59593219;57,12152439;Europe
GRENAA;DNK;10,92521089;56,41337169;Europe
MERSRAGS;LVA;23,13158643;57,33510773;Europe
MARSAMXETT;MLT;14,49825518;35,90180023;Europe
MALTA (VALETTA);MLT;14,50017989;35,88577563;Europe
CIRKEWWA;MLT;14,33274686;35,98649625;Europe
UNKNOWN_2321;MLT;14,29871141;36,02465761;Europe
TUBORG;DNK;12,58224187;55,72594201;Europe
AALBORG;DNK;9,95285919;57,05171413;Europe
VALLENSBAEK;DNK;12,39130569;55,608365;Europe
GULFHAVNEN;DNK;11,25221639;55,2046983;Europe
MALI LOSINJ - PASSENGER PORT;HRV;14,46110681;44,54331747;Europe
BOGENSE;DNK;10,08110736;55,56620615;Europe
ESBJERG;DNK;8,43070964;55,4687193;Europe
FABORG HAVN;DNK;10,23829683;55,09487544;Europe
FREDERICIA (OG SHELL-HAVNEN);DNK;9,74633177;55,55868074;Europe
FREDERIKSHAVN;DNK;10,54648753;57,43967119;Europe
FREDERISKVAERK HAVN (FREDERIKSVAERK STALVALSEVAERK);DNK;12,00897822;55,96424545;Europe
DRAGOR;DNK;12,67738289;55,59144324;Europe
KOLDING;DNK;9,498594874;55,49241951;Europe
KORSOR;DNK;11,12968137;55,33090573;Europe
KOBENHAVNS HAVN;DNK;12,59359738;55,68286246;Europe
KOGE;DNK;12,1934414;55,46088126;Europe
EBELTOFT;DNK;10,67060973;56,19380099;Europe
PULA;HRV;13,84269718;44,8411977;Europe
KRALJEVICA;HRV;14,56537408;45,27334422;Europe
RIJEKA BAKAR;HRV;14,43493622;45,32641228;Europe
CORFU (KERKIRA);GRC;19,90342237;39,62994699;Europe
LAVRION (LAURIUM);GRC;24,06138561;37,71155304;Europe
RETHYMNO (RETHIMNO);GRC;24,48038007;35,36962489;Europe
RHODES;GRC;28,23255167;36,44500242;Europe
SKARAMANGA;GRC;23,59638664;38,00916831;Europe
SOUDA BAY (SOIDA);GRC;24,06829324;35,49068485;Europe
CANEA (XANIA);GRC;24,01722645;35,51826702;Europe
ZAKYNTHOS (ZAKINTHOS);GRC;20,9007789;37,78155367;Europe
DRAPETSONA (DRAPETSONA);GRC;23,62310974;37,94471463;Europe
KERATSINI (KERATSINI);GRC;23,6102652;37,95544435;Europe
HERAKLIO (IRAKLEIO);GRC;25,14598042;35,34258387;Europe
THESSALONIKI (THESSALONIKI);GRC;22,91843194;40,63667618;Europe
SULINA (PORT ET ZONE FRANCHE);ROU;29,67741638;45,15593083;Europe
NAVODARI;ROU;28,65629646;44,32327211;Europe
MEDGIDIA;ROU;28,30928674;44,24551222;Europe
HARSOVA;ROU;27,96825246;44,68078262;Europe
BASARABI;ROU;28,39800652;44,17526836;Europe
BRAILA;ROU;27,98632121;45,28494119;Europe
GIURGIU;ROU;25,96651324;43,87275467;Europe
GALATI;ROU;28,09605923;45,44294341;Europe
CALARASI;ROU;27,28976054;44,21181264;Europe
PERAMA;GRC;23,58601195;37,96036859;Europe
SALACGRIVA;LVA;24,34767188;57,75450682;Europe
KOS;GRC;27,29650893;36,89337963;Europe
PALOUKIA SALAMINAS (PALOIKIA SALAMINAS);GRC;23,53182286;37,9750549;Europe
ROVINJ - PASSENGER PORT;HRV;13,63606912;45,07853653;Europe
UMAG - PASSENGER PORT;HRV;13,51856596;45,43770388;Europe
LIMASSOL;CYP;33,01494735;34,65024718;Europe
LARNACA;CYP;33,64044378;34,92266582;Europe
FAMAGUSTA;CYP;33,93684272;35,13177138;Europe
KYRENIA;CYP;33,3281056;35,34188734;Europe
TEMSE;BEL;4,200354566;51,11845324;Europe
ZELZATE;BEL;3,807545409;51,21051781;Europe
OOSTENDE;BEL;2,93386028;51,22930068;Europe
LIEGE (LUIK);BEL;5,636707968;50,65725045;Europe
VOLOS (BOLOS);GRC;22,94140981;39,3579126;Europe
LANGERBRUGGE;BEL;3,743601081;51,1149693;Europe
TERDONK;BEL;3,78398786;51,13935733;Europe
SOZOPOL;BGR;27,6902557;42,42233865;Europe
BURGAS;BGR;27,46331596;42,48623726;Europe
VARNA;BGR;27,90504611;43,19660165;Europe
KOPER;SVN;13,74148221;45,55829439;Europe
LIXOURI (LIXOIRI KEFALLINIAS);GRC;20,44113906;38,1994122;Europe
KYMI (KIMI);GRC;24,12503623;38,62735648;Europe
KYLINI (KILINI);GRC;21,14867237;37,93661974;Europe
KATAKOLON;GRC;21,31909043;37,6464382;Europe
ALEXANDROUPOLIS (ALEXANDROIPOLIS);GRC;25,88374323;40,842689;Europe
NIEUWPOORT;BEL;2,747573551;51,1420116;Europe
ALICANTE;ESP;-0,490863184;38,33573316;Europe
RIGA;LVA;24,06862769;57,04855769;Europe
SHOREHAM;GBR;-0,225300177;50,82914388;Europe
ZUMAYA;ESP;-2,252204893;43,29706429;Europe
BILBAO;ESP;-3,067537865;43,35228306;Europe
TARRAGONA;ESP;1,22836234;41,10072992;Europe
TORREVIEJA;ESP;-0,686289307;37,97234973;Europe
VALENCIA;ESP;-0,322482808;39,44229267;Europe
VILLAGARCIA  (DE AROSA);ESP;-8,774445081;42,59622826;Europe
VINAROZ;ESP;0,474732108;40,46224123;Europe
VIVEIRO;ESP;-7,596017301;43,67671367;Europe
CADIZ;ESP;-6,281202674;36,53188002;Europe
ZONA FRANCA DE CADIZ;ESP;-6,263381436;36,50351286;Europe
FASLANE;GBR;-4,817531632;56,0610804;Europe
HUNTERSTON;GBR;-4,867031734;55,74214672;Europe
KILLINGHOLME;GBR;-0,245464266;53,66418842;Europe
IMMINGHAM;GBR;-0,190848621;53,62757402;Europe
PWLLHELI;GBR;-4,410065544;52,88633859;Europe
MOSTYN;GBR;-3,264483797;53,3190786;Europe
PAR;GBR;-4,707392037;50,34435065;Europe
AVONMOUTH;GBR;-2,705433131;51,50551056;Europe
PORTBURY;GBR;-2,720988298;51,49530208;Europe
SULLOM VOE;GBR;-1,277122328;60,46513487;Europe
ABERDEEN;GBR;-2,08036005;57,1429486;Europe
SADA;ESP;-8,248543698;43,36052776;Europe
SITGES;ESP;1,824639663;41,23378649;Europe
SANTA POLA;ESP;-0,560771763;38,18925706;Europe
SANTA CRUZ DE LA PALMA;ESP;-17,76774888;28,67563985;Europe
ARRECIFE DE LANZAROTE;ESP;-13,53419331;28,96811797;Europe
BERMEO;ESP;-2,716656393;43,41930201;Europe
DENIA;ESP;0,11511083;38,84327055;Europe
IBIZA;ESP;1,442009045;38,91268913;Europe
SAGUNTO;ESP;-0,212836887;39,65426242;Europe
PASAJES;ESP;-1,917837438;43,31989361;Europe
FERROL;ESP;-8,232493292;43,47905577;Europe
LA CORUNA;ESP;-8,391782445;43,35945879;Europe
CASTELLON;ESP;0,020507545;39,97284115;Europe
MELILLA;ESP;-2,932454356;35,28511073;Europe
ARDROSSAN;GBR;-4,818044901;55,64203748;Europe
MALAGA;ESP;-4,423344488;36,71015241;Europe
MARIN-PONTEVEDRA;ESP;-8,695789376;42,39845797;Europe
MASNOU;ESP;2,311639408;41,47498048;Europe
PUERTO DE SANTA MARIA;ESP;-6,233174233;36,58395369;Europe
ROSAS;ESP;3,179517664;42,25400499;Europe
ONDARROA;ESP;-2,417185441;43,32382885;Europe
SETUBAL;PRT;-8,876950581;38,51721027;Europe
PALMA MALLORCA;ESP;2,632914205;39,55920218;Europe
LAS PALMAS;ESP;-15,417316;28,14451688;Europe
SAN CARLOS DE LA RAPITA;ESP;0,60194347;40,61661277;Europe
SANTA CRUZ DE TENERIFE;ESP;-16,23012651;28,48109299;Europe
MAHON;ESP;4,265386076;39,89313854;Europe
BRIGHTON;GBR;-0,100448372;50,81117026;Europe
EASTBOURNE;GBR;0,329232161;50,79416284;Europe
MANCHESTER;GBR;-2,293847147;53,47133552;Europe
MARCHWOOD;GBR;-1,429283945;50,89396207;Europe
